company,location,fire,��ü �η� �� ���� ���� ����,industry,country,ai_bool
Milkbasket,Gurugram Non-U.S.,400,67%,Food,India,FALSE
Point,SF Bay Area,61,28%,Real Estate,United States,FALSE
Verbit,New York City,60,6%,Data,United States,TRUE
Datree,SF Bay Area,,100%,Other,United States,FALSE
Degreed,SF Bay Area,,,Education,United States,FALSE
Akseleran,Jakarta Non-U.S.,60,,Finance,Indonesia,FALSE
Homology,Boston,,,Healthcare,United States,FALSE
Kape,London Non-U.S.,180,,Security,United Kingdo??True,TRUE
Eroad,Auckland Non-U.S.,200,31%,Transportat,,FALSE
Kape Technologies,London Non-U.S.,200,30%,Security,United Kingdo??True,FALSE
Fable,Toronto Non-U.S.,13,9%,Other,Canada,FALSE
Qoala,Jakarta Non-U.S.,80,,Finance,Indonesia,FALSE
Cambricon,Beijing Non-U.S.,,,Hardware,China,FALSE
Nexar,New York City,12,,Transportat,,FALSE
iQiyi Smart,Beijing Non-U.S.,,,Other,China,FALSE
CoinDesk,New York City,,,Crypto,United States,TRUE
Easee,Sandnes Non-U.S.,200,57%,Energy,Norway,FALSE
SecureWorks,Atlanta,300,15%,Security,United States,TRUE
Noice,Helsinki Non-U.S.,,,Consumer,Finland,FALSE
Xendit,Jakarta Non-U.S.,,,Finance,Indonesia,FALSE
FlexCar,Boston,20,,Transportat,,FALSE
Illumina,San Diego,151,,Healthcare,United States,FALSE
AppFolio,Santa Barbara,149,9%,Real Estate,United States,FALSE
StreamElements,Tel Aviv Non-U.S.,60,35%,Media,Israel,FALSE
CircleCI,SF Bay Area,,,Product,United States,FALSE
Intel,SF Bay Area,140,,Hardware,United States,TRUE
Embrace,SF Bay Area,,,Product,United States,FALSE
Times Internet,Gurugram Non-U.S.,100,5%,Media,,FALSE
Zylo,Indianapolis,,10%,Other,United States,FALSE
Detectify,Stockholm Non-U.S.,30,,Security,Sweden,TRUE
Spartan Poker,Kolkata Non-U.S.,125,40%,Consumer,India,FALSE
Twiga,Nairobi Non-U.S.,283,33%,Food,Kenya,FALSE
Unite Us,New York City,,,Healthcare,United States,FALSE
Recur,Miami,,,Crypto,United States,TRUE
Tempo Automation,SF Bay Area,,,Other,United States,FALSE
Hypefast,Jakarta Non-U.S.,,30%,Retail,Indonesia,FALSE
Datagen,Tel Aviv Non-U.S.,,,AI,Israel,TRUE
CoinDCX,Mumbai Non-U.S.,,12%,Crypto,India,TRUE
Getir,London Non-U.S.,2500,11%,Food,United Kingdo??False,FALSE
JOIN,Berlin Non-U.S.,,,Recruiting,Germany,FALSE
Cellulant,Nairobi Non-U.S.,,20%,Finance,Kenya,FALSE
Rivos,SF Bay Area,24,6%,Hardware,United States,FALSE
BlackLine,Los Angeles,95,5%,Finance,United States,FALSE
Veriff,Tallinn Non-U.S.,101,21%,Security,Estonia,TRUE
Atlas,Chicago,150,30%,HR,United States,FALSE
Captiv8,SF Bay Area,8,3%,Marketing,United States,FALSE
Chingari,Bengaluru Non-U.S.,,50%,Media,India,FALSE
Fortinet,SF Bay Area,,,Security,United States,TRUE
Cuemath,Bengaluru Non-U.S.,100,,Education,India,FALSE
HackerRank,SF Bay Area,53,,Recruiting,United States,FALSE
SenseTime,Hong Kong Non-U.S.,,,AI,Hong Kong,TRUE
Clockwork,Dallas,,100%,Crypto,United States,TRUE
CoinSwitch,Bengaluru Non-U.S.,44,,Crypto,India,TRUE
Zebra Technologies,Chicago,700,7%,Manufactur,,FALSE
123Milhas,Belo Horizonte Non-U.S.,,,Travel,Brazil,FALSE
Kenko Health,Mumbai Non-U.S.,50,20%,Healthcare,India,FALSE
Zeplin,SF Bay Area,37,35%,Product,United States,FALSE
Huma,London Non-U.S.,45,10%,Healthcare,United Kingdo??False,FALSE
Kenko Health,Mumbai Non-U.S.,50,20%,Healthcare,India,FALSE
Omuni,Bengaluru Non-U.S.,60,35%,Retail,India,FALSE
SkyKick,Seattle,140,,Other,United States,FALSE
Biofourmis,Boston,120,,Healthcare,United States,FALSE
Pegasystems,Boston,240,4%,HR,United States,FALSE
Malwarebytes,SF Bay Area,100,,Security,United States,TRUE
Productboard,SF Bay Area,,10%,Product,United States,FALSE
Expedia,Seattle,,,Travel,United States,FALSE
Google,SF Bay Area,75,,Consumer,United States,TRUE
Akili Labs,Boston,,40%,Healthcare,United States,FALSE
R3,New York City,,20%,Crypto,United States,TRUE
VideoAmp,Los Angeles,40,10%,Marketing,United States,FALSE
Project44,Chicago,116,,Logistics,United States,FALSE
Airtable,SF Bay Area,237,27%,Product,United States,TRUE
Velocity,Bengaluru Non-U.S.,,14%,Finance,India,FALSE
7shifts,Saskatoon Non-U.S.,30,7%,Food,Canada,FALSE
Sage Therapeutics copy,Boston,290,,Healthcare,United States,FALSE
Hooray Foods,SF Bay Area,,100%,Food,United States,FALSE
Cisco,SF Bay Area,350,,Infrastructu,,FALSE
Nowadays,SF Bay Area,,100%,Food,United States,FALSE
Truss Works,SF Bay Area,,,Real Estate,United States,FALSE
Outreach,Seattle,,12%,Sales,United States,FALSE
Akudo,Bengaluru Non-U.S.,,100%,Finance,India,FALSE
DealShare,Bengaluru Non-U.S.,130,,Retail,India,FALSE
Robinhood,SF Bay Area,,,Finance,United States,FALSE
Merative,Dublin Non-U.S.,100,,Healthcare,Ireland,FALSE
Foodpanda,Singapore Non-U.S.,,,Food,Singapore,FALSE
Roblox,New York City,30,,Consumer,United States,FALSE
Appsmith,SF Bay Area,35,25%,,United States,FALSE
Eat Just,SF Bay Area,40,,Food,United States,FALSE
Recast,Edinburgh Non-U.S.,,100%,Media,United Kingdo??False,FALSE
Lucid Software,Salt Lake City,75,7%,Other,United States,FALSE
Talkdesk,SF Bay Area,,,Support,United States,FALSE
Dunzo,Bengaluru Non-U.S.,150,30%,Food,India,FALSE
Flexe,Seattle,131,33%,Logistics,United States,FALSE
Fi.Money,Bengaluru Non-U.S.,30,10%,Finance,India,FALSE
Snap,Los Angeles,170,,Consumer,United States,FALSE
Fit Analytics,Berlin Non-U.S.,,100%,Retail,,FALSE
2U,Washington D.C.,,,Education,United States,FALSE
Lululemon Studio,New York City,120,,Fitness,United States,FALSE
Epic Games,Raleigh,870,16%,Consumer,United States,FALSE
Cowbell,SF Bay Area,28,12%,Finance,United States,FALSE
Andgo,Saskatoon Non-U.S.,9,,HR,Canada,FALSE
Vendasta,Saskatoon Non-U.S.,,,Marketing,Canada,FALSE
N26,Berlin Non-U.S.,14,,Finance,Germany,FALSE
Uno Health,New York City,,,Healthcare,United States,FALSE
Flexport,SF Bay Area,,20%,Logistics,United States,FALSE
Adda247,Gurugram Non-U.S.,300,,Education,India,FALSE
PokerStars,Leeds Non-U.S.,,,Consumer,United Kingdo??False,FALSE
Stack Overflow,New York City,,28%,Recruiting,United States,FALSE
Bandcamp,SF Bay Area,58,50%,Other,United States,FALSE
Kayak / OpenTable,Stamford,80,,Travel,United States,FALSE
C2FO,Kansas City,80,3%,Finance,United States,FALSE
CityMall,Gurugram Non-U.S.,90,,Retail,India,FALSE
LinkedIn,SF Bay Area,660,3%,Recruiting,United States,FALSE
Waymo,SF Bay Area,,,Transportat,,FALSE
Expedia,Seattle,100,,Travel,United States,FALSE
ManoMano,Paris Non-U.S.,230,25%,Retail,France,FALSE
Google,SF Bay Area,40,,Consumer,United States,TRUE
WeTransfer,Amsterdam Non-U.S.,35,10%,Other,Netherlands,FALSE
Belora Paris,Gurugram Non-U.S.,,100%,Retail,India,FALSE
Made Renovation,SF Bay Area,,100%,Construction,United States,FALSE
Volta Trucks,Stockholm Non-U.S.,,100%,Transportat,,FALSE
Plume,Denver,24,,Healthcare,United States,FALSE
StellarAlgo,Calgary Non-U.S.,21,28%,Data,Canada,TRUE
LegalZoom,Austin,100,,Legal,United States,FALSE
Bullhorn,Boston,140,9%,Sales,United States,FALSE
Convoy,Seattle,500,100%,Logistics,United States,FALSE
Tropic,New York City,26,,Finance,United States,FALSE
Nomad Health,New York City,,25%,Healthcare,United States,FALSE
Roblox China,Shenzen Non-U.S.,15,,Consumer,,FALSE
Parity Technologies,London Non-U.S.,100,30%,Crypto,United Kingdo??True,TRUE
Shipt,Birmingham,,3%,Retail,United States,FALSE
Pebble,SF Bay Area,,100%,Consumer,United States,FALSE
SiFive,SF Bay Area,130,20%,Hardware,United States,FALSE
Salsify,Boston,110,,Retail,United States,FALSE
Virgio,Bengaluru Non-U.S.,20,33%,Retail,India,FALSE
F-Secure,Helsinki Non-U.S.,70,,Security,Finland,TRUE
Multiverse,London Non-U.S.,,,Education,United Kingdo??False,FALSE
Exabeam,SF Bay Area,,20%,Security,United States,TRUE
Slync,Dallas,,100%,Logistics,United States,FALSE
Graphy,Bengaluru Non-U.S.,50,20%,Education,,FALSE
Hippo Insurance,SF Bay Area,120,20%,Finance,United States,FALSE
Karat Financial,Los Angeles,,,Finance,United States,FALSE
Hubilo,SF Bay Area,50,,Other,United States,FALSE
StepStone,Berlin Non-U.S.,215,5%,Recruiting,Germany,FALSE
Olive,Columbus,,100%,Healthcare,United States,FALSE
Amazon,Seattle,180,,Retail,United States,TRUE
Ping Identity,Denver,,,Security,United States,TRUE
Markforged,Boston,,,Manufactur,,FALSE
Halodoc,Jakarta Non-U.S.,,,Healthcare,India,FALSE
Cake Group,Singapore Non-U.S.,50,30%,Crypto,Singapore,TRUE
Sarcos,Pittsburgh,150,,Aerospace,United States,FALSE
Chewy,Miami,200,,Retail,United States,FALSE
FintechOS,Bucharest Non-U.S.,,,Finance,Romania,FALSE
FreshBooks,Toronto Non-U.S.,,6%,Finance,Canada,FALSE
Singular Genomics,San Diego,,10%,Healthcare,United States,FALSE
Uleet,Columbus,,100%,Healthcare,United States,FALSE
Landing,Birmingham,,,Real Estate,United States,FALSE
Sonos,New York City,,,Consumer,United States,FALSE
Beamery,London Non-U.S.,,25%,HR,United Kingdo??False,FALSE
Paystack,Lagos Non-U.S.,33,,Finance,Nigeria,FALSE
Sierra Space,Boulder,115,,Aerospace,United States,FALSE
NextGen Healthcare,St. Louis,84,,Healthcare,United States,FALSE
Amazon,Seattle,,,Retail,United States,TRUE
Jane,Lehi,,100%,Retail,United States,FALSE
Zazuu,London,,,Finance,United Kingdo??False,FALSE
Buildertrend,Omaha,,16%,Construction,United States,FALSE
Physics Wallah,Noida Non-U.S.,120,1%,Education,India,FALSE
Presto,SF Bay Area,,17%,Food,United States,FALSE
C3.ai,SF Bay Area,,,AI,United States,TRUE
Jodo,Bengaluru Non-U.S.,100,,Finance,India,FALSE
Tulip Retail,Toronto Non-U.S.,25,,Retail,Canada,TRUE
McMakler,Berlin Non-U.S.,60,,Real Estate,Germany,FALSE
Alerzo,Ibadan Non-U.S.,100,,Retail,Nigeria,FALSE
Anar,Mumbai Non-U.S.,,100%,Marketing,India,FALSE
Veev,SF Bay Area,,100%,Construction,United States,FALSE
Bytedance,Shanghai Non-U.S.,1000,,Consumer,China,FALSE
Our Next Energy,Detroit,128,25%,Transportat,,FALSE
VMware,SF Bay Area,2837,,Infrastructu,,FALSE
Unity,SF Bay Area,265,4%,Other,United States,FALSE
Tier Mobility,Berlin Non-U.S.,,22%,Transportat,,FALSE
Multiverse,London Non-U.S.,,5%,Education,United Kingdo??False,FALSE
Dataminr,New York City,150,20%,AI,United States,TRUE
Pipedrive,Tallinn Non-U.S.,,,Sales,,FALSE
Mojo,New York City,,,Consumer,United States,FALSE
Domo,Salt Lake City,,7%,Data,United States,TRUE
Zepz,London Non-U.S.,30,2%,Finance,United Kingdo??False,FALSE
Loco,Mumbai Non-U.S.,40,36%,Consumer,India,FALSE
Vox Media,Washington D.C.,,4%,Media,United States,FALSE
Sojern,SF Bay Area,,20%,Marketing,United States,FALSE
FourKites,Chicago,,15%,Logistics,United States,FALSE
Flex,SF Bay Area,31,,Manufactur,,FALSE
ForgeRock,SF Bay Area,109,,Other,United States,FALSE
Analog Devices,SF Bay Area,111,,Manufactur,,FALSE
Etsy,New York City,225,11%,Retail,United States,FALSE
Invitae,SF Bay Area,235,15%,Healthcare,United States,FALSE
Bolt,SF Bay Area,,29%,Finance,United States,FALSE
Curalie,Berlin Non-U.S.,,100%,Healthcare,Germany,FALSE
Cruise,SF Bay Area,900,24%,Transportat,,FALSE
Flyhomes,Seattle,,,Real Estate,United States,FALSE
Curbio,Washington D.C.,,,Real Estate,United States,FALSE
Solarisbank,Berlin Non-U.S.,20,,Finance,Germany,FALSE
Stellar Pizza,Los Angeles,,50%,Food,United States,FALSE
Superpedestrian,Boston,,,Transportat,,FALSE
Jellysmack,Paris Non-U.S.,,,Media,France,FALSE
Glowforge,Seattle,30,,Manufactur,,FALSE
eBay,Tel Aviv Non-U.S.,20,,Retail,Israel,FALSE
Checkout.com,London Non-U.S.,80,,Finance,United Kingdo??False,FALSE
Enphase Energy,SF Bay Area,350,10%,Energy,United States,FALSE
Delivery Hero,Berlin Non-U.S.,,,Food,Germany,FALSE
Arm Holdings,Shanghai Non-U.S.,70,,Hardware,China,FALSE
Udaan,Bengaluru Non-U.S.,100,10%,Retail,India,FALSE
Kaspien,Seattle,,100%,Retail,United States,FALSE
InSightec,Haifa Non-U.S.,100,20%,Healthcare,Israel,FALSE
ShareChat,Bengaluru Non-U.S.,200,15%,Consumer,India,FALSE
Palmetto Clean Technology,Charleston,,,Energy,,FALSE
Hyperloop One,Los Angeles,,100%,Transportat,,FALSE
Intel,Sacramento,311,,Hardware,United States,TRUE
Paytm,Noida Non-U.S.,1000,,Finance,India,FALSE
Strake,Boulder,,100%,Infrastructu,,FALSE
Bolt.Earth,Bengaluru Non-U.S.,,20%,Energy,India,FALSE
Ocado,London Non-U.S.,1000,,Food,United Kingdo??False,FALSE
Thursday,London Non-U.S.,,70%,Consumer,United Kingdo??False,FALSE
Google,SF Bay Area,,,Consumer,United States,TRUE
ALI Technologies,Tokyo Non-U.S.,,100%,Transportat,,FALSE
First Mode,Seattle,48,20%,Transportat,,FALSE
SonderMind,Denver,49,17%,Healthcare,United States,FALSE
Sirplus,Berlin Non-U.S.,60,,Food,Germany,FALSE
YouTube,SF Bay Area,100,,Media,United States,FALSE
Stitch Fix,Dallas,,,Retail,United States,FALSE
Fashinza,New York City,,,Retail,United States,FALSE
Amazon,Seattle,30,,Retail,United States,TRUE
Wayfair,Boston,1650,13%,Retail,United States,TRUE
SolarEdge,Tel Aviv Non-U.S.,900,16%,Energy,Israel,FALSE
Google,SF Bay Area,,,Consumer,United States,TRUE
2U,Washington D.C.,,,Education,United States,FALSE
TikTok,Los Angeles,60,,Consumer,United States,FALSE
Riot Games,Los Angeles,530,11%,Consumer,United States,FALSE
Xendit,Jakarta Non-U.S.,,,Finance,Indonesia,FALSE
Vroom,New York City,800,90%,Transportat,,FALSE
SAP,Walldorf Non-U.S.,8000,7%,Other,Germany,FALSE
eBay,SF Bay Area,1000,9%,Retail,United States,FALSE
Brex,SF Bay Area,282,20%,Finance,United States,FALSE
Seedr,London Non-U.S.,15,,Finance,United Kingdo??False,FALSE
GoStudent,Vienna Non-U.S.,100,,Education,Austria,FALSE
Jellysmack,Paris Non-U.S.,30,,Media,France,FALSE
GoTo,Boston,29,,Other,United States,FALSE
Cure.fit,Bengaluru Non-U.S.,120,,Fitness,India,FALSE
HubSpot,Boston,,,Marketing,United States,FALSE
Desktop Metal,Boston,,20%,Other,United States,TRUE
Aurora,Pittsburgh,,3%,Transportat,,FALSE
Storytel,Stockholm Non-U.S.,80,13%,Media,Sweden,FALSE
Personio,Munich Non-U.S.,100,,HR,Germany,FALSE
Cult.fit,Bengaluru Non-U.S.,100,,Fitness,India,FALSE
Microsoft,Seattle,1900,,Other,United States,TRUE
Swiggy,Bengaluru Non-U.S.,400,7%,Food,India,FALSE
Veho,Boulder,65,19%,Logistics,United States,FALSE
Cova,Lagos Non-U.S.,,100%,Finance,Nigeria,FALSE
MVPindex,Austin,12,30%,Marketing,United States,FALSE
Amperity,Seattle,20,,Marketing,United States,FALSE
Jamf,Minneapolis,,6%,Other,United States,FALSE
Business Insider,New York City,,8%,Media,United States,FALSE
Salesforce,SF Bay Area,700,1%,Sales,United States,FALSE
Productboard,SF Bay Area,,,Product,United States,FALSE
Flexport,SF Bay Area,,20%,Logistics,United States,FALSE
Loopio,Toronto Non-U.S.,,6%,Sales,,FALSE
DispatchHealth,Denver,88,,Healthcare,United States,FALSE
iRobot,Boston,350,31%,Consumer,United States,FALSE
Vipps,Vilnius Non-U.S.,,,Finance,Lithuania,FALSE
Procore,Santa Barbara,,4%,Construction,United States,FALSE
Noom,New York City,,,Fitness,United States,FALSE
TechCrunch,SF Bay Area,7,,Media,United States,FALSE
Wattpad,Toronto Non-U.S.,20,10%,Media,Canada,FALSE
Aurora Solar,SF Bay Area,111,20%,Energy,United States,FALSE
Kiwi.com,Brno Non-U.S.,216,18%,Travel,Czech Republic,FALSE
Block,SF Bay Area,1000,10%,Finance,United States,FALSE
PayPal,SF Bay Area,2500,9%,Finance,United States,FALSE
Proofpoint,SF Bay Area,280,6%,Security,United States,TRUE
Trove Recommerce,SF Bay Area,130,,Retail,United States,FALSE
CircleCI,SF Bay Area,100,,Product,United States,FALSE
The Messenger,Miami,,100%,Media,United States,FALSE
Innoviz,Tel Aviv Non-U.S.,60,13%,Transportat,,FALSE
Thinx,New York City,95,,Retail,United States,FALSE
Zuora,SF Bay Area,,8%,Finance,United States,FALSE
Instacart,SF Bay Area,250,7%,Food,United States,FALSE
Wisense,Tel Aviv Non-U.S.,,100%,Transportat,,FALSE
Popcore,Berlin Non-U.S.,,,Consumer,Germany,FALSE
Everybuddy,Tel Aviv Non-U.S.,,100%,Consumer,Israel,FALSE
Riskified,New York City,40,6%,Retail,United States,FALSE
Impinj,Seattle,50,10%,Other,United States,FALSE
Mozilla,SF Bay Area,60,5%,Consumer,United States,FALSE
Redesign Health,New York City,77,,Healthcare,United States,FALSE
Cisco,SF Bay Area,4250,5%,Infrastructu,,FALSE
Away,New York City,,25%,Retail,United States,FALSE
Wint Wealth,Nashik Non-U.S.,19,20%,Finance,India,FALSE
Toast,Boston,550,10%,Food,United States,FALSE
Sonder,SF Bay Area,106,17%,Travel,United States,FALSE
LinkSquares,Boston,90,,Legal,United States,FALSE
CodeSee,SF Bay Area,,100%,Data,United States,TRUE
Gro Intelligence,New York City,20,10%,Food,United States,TRUE
Storytel,Stockholm Non-U.S.,80,13%,Consumer,Sweden,FALSE
May Mobility,Ann Arbor,,13%,Transportat,,FALSE
Voi,Stockholm Non-U.S.,120,12%,Transportat,,FALSE
Farfetch,London Non-U.S.,2000,25%,Retail,United Kingdo??False,FALSE
Meati,Boulder,,30%,Food,United States,FALSE
KnownOrigin,Manchester Non-U.S.,,30%,Crypto,United Kingdo??True,TRUE
Auctane,Austin,,,Retail,United States,FALSE
Tails.com,London Non-U.S.,55,25%,Retail,United Kingdo??True,TRUE
Aptiv,Krakow Non-U.S.,250,,Transportat,Post-IPO,FALSE
Finder,Sydney Non-U.S.,60,17%,Retail,Australia,FALSE
Affirm,Pittsburgh,60,,Finance,United States,FALSE
Rivian,Detroit,,10%,Transportat,,FALSE
BuzzFeed,New York City,,16%,Media,United States,FALSE
Vice Media,New York City,,,Media,United States,FALSE
Redesign Health,New York City,77,,Healthcare,United States,FALSE
Carbon Health,SF Bay Area,56,,Healthcare,United States,FALSE
Daraz,Singapore Non-U.S.,,,Retail,Singapore,FALSE
WayCool,Chennai Non-U.S.,70,,Food,India,FALSE
Expedia,Seattle,1500,8%,Travel,United States,FALSE
Apple,SF Bay Area,,,Transportat,,TRUE
PropertyGuru,Singapore Non-U.S.,79,,Real Estate,Singapore,FALSE
Sony Interactive,SF Bay Area,900,8%,Consumer,,FALSE
Bumble,Austin,350,30%,Consumer,United States,FALSE
Motional,Boston,,5%,Transportat,,FALSE
Treasury Prime,SF Bay Area,40,40%,Finance,United States,FALSE
OrCam,Jerusalem Non-U.S.,50,19%,Healthcare,Israel,FALSE
Vacasa,Portland,320,5%,Travel,United States,FALSE
Electronic Arts,SF Bay Area,670,5%,Consumer,United States,FALSE
Kevin,Vilnius Non-U.S.,,14%,Finance,Lithuania,FALSE
Fisker,Los Angeles,,15%,Transportat,,FALSE
Stash,New York City,80,25%,Finance,United States,FALSE
Ancestry,Lehi,81,6%,Consumer,United States,FALSE
Textio,Seattle,14,16%,Recruiting,United States,FALSE
Chipper Cash,SF Bay Area,20,,Finance,United States,FALSE
Blueboard,SF Bay Area,,100%,HR,United States,FALSE
Flock Freight,San Diego,54,,Logistics,United States,FALSE
Longi,Xi'an Non-U.S.,,5%,Energy,China,FALSE
Airmeet,Bengaluru Non-U.S.,,20%,Marketing,India,TRUE
ShopBack,Singapore Non-U.S.,195,24%,Retail,Singapore,FALSE
Singular Genomics,San Diego,,20%,Healthcare,United States,FALSE
Orbotech,Yavne Non-U.S.,100,,Manufactur,,FALSE
Cybereason,Boston,,,Security,United States,TRUE
Verily,SF Bay Area,,,Healthcare,United States,FALSE
Dell,Austin,6000,5%,Hardware,United States,FALSE
GoPro,SF Bay Area,,4%,Consumer,United States,FALSE
Synctera,SF Bay Area,17,15%,Finance,United States,FALSE
ChowNow,Los Angeles,60,20%,Food,United States,FALSE
Tesla,Austin,14000,10%,Transportat,,FALSE
Tome,SF Bay Area,12,25%,AI,United States,TRUE
Take-Two,New York City,579,5%,Consumer,United States,FALSE
Rivian,Detroit,,1%,Transportat,,FALSE
Google,SF Bay Area,,,Consumer,United States,TRUE
ConnectWise,Tampa Bay,,,Other,United States,FALSE
The Good Glamm Group,New Delhi Non-U.S.,150,15%,Retail,India,FALSE
Showpad,Ghent Non-U.S.,50,10%,Marketing,Belgium,FALSE
Pax8,Denver,,5%,Infrastructu,,FALSE
Stability AI,London Non-U.S.,20,,AI,United Kingdo??True,TRUE
OutSystems,Boston,150,8%,Product,United States,FALSE
Homie,Salt Lake City,,,Real Estate,United States,FALSE
98point6,Seattle,,,Healthcare,United States,FALSE
Heureka Group,Prague Non-U.S.,100,16%,Retail,Czech Republic,FALSE
Freenome,SF Bay Area,100,20%,Healthcare,United States,FALSE
Expedia,Austin,,,Travel,United States,FALSE
Grin,Sacramento,,,Marketing,United States,FALSE
True Anomaly,Denver,30,25%,Aerospace,United States,FALSE
HealthifyMe,Bengaluru Non-U.S.,150,27%,Healthcare,India,FALSE
Fisker,Los Angeles,,,Transportat,,FALSE
ComplYant,Los Angeles,,100%,Finance,United States,FALSE
Ninja Van,Singapore Non-U.S.,21,10%,Transportat,,FALSE
Ola,Bengaluru Non-U.S.,180,10%,Transportat,,FALSE
Getir,London Non-U.S.,3300,,Food,United Kingdo??False,FALSE
Tesla,Austin,500,,Transportat,,FALSE
Akili Interactive,Boston,,46%,Healthcare,United States,FALSE
Google,SF Bay Area,,,Consumer,United States,TRUE
RiseUp,Tel Aviv Non-U.S.,50,50%,Finance,Israel,FALSE
Indeed,Austin,1000,8%,HR,United States,FALSE
Mainvest,Boston,,100%,Finance,United States,TRUE
Singularity 6,Los Angeles,36,,Other,United States,FALSE
Atmosphere,Austin,100,,Other,United States,FALSE
SeekOut,Seattle,,30%,Recruiting,United States,FALSE
Karhoo,London Non-U.S.,,100%,Transportat,,FALSE
Gopuff,Philadelphia,,6%,Food,United States,FALSE
Wefox,Berlin Non-U.S.,60,,Finance,Germany,FALSE
Toshiba,Tokyo Non-U.S.,4000,,Manufactur,,FALSE
Replit,SF Bay Area,30,20%,Product,United States,FALSE
Joonko,New York City,,100%,HR,United States,FALSE
TikTok,Los Angeles,1000,,Consumer,United States,FALSE
Silo,SF Bay Area,,30%,Food,United States,FALSE
Cue Health,San Diego,180,100%,Healthcare,United States,FALSE
Guild,Denver,300,25%,Education,United States,FALSE
Foursquare,New York City,105,25%,Marketing,United States,FALSE
Satellogic,Montevideo Non-U.S.,34,13%,Aerospace,Uruguay,FALSE
Lucid Motors,SF Bay Area,400,6%,Transportat,,FALSE
Glovo,Madrid Non-U.S.,22,,Food,Spain,FALSE
Funding Circle,London Non-U.S.,,,Finance,United Kingdo??False,FALSE
Fisker,Los Angeles,,,Transportat,,FALSE
Walnut,New York City,15,20%,Sales,United States,FALSE
ICANN,Los Angeles,33,7%,Infrastructu,,FALSE
FlightStats,Portland,73,,Travel,United States,FALSE
Jasper Health,Boise,,,Healthcare,United States,FALSE
Gro Intelligence,New York City,,10%,Food,United States,TRUE
Tropic,New York City,40,,Finance,United States,FALSE
Google,SF Bay Area,100,,Consumer,United States,TRUE
Medtronic,SF Bay Area,,,Healthcare,United States,FALSE
Cypress.io,Atlanta,11,,Product,United States,FALSE
Satellogic,Montevideo Non-U.S.,70,30%,Aerospace,Uruguay,FALSE
Running Tide,Portland,,100%,Energy,United States,FALSE
Care/of,New York City,143,100%,Healthcare,United States,FALSE
LOOP,Austin,23,77%,Finance,United States,FALSE
Stackpath,Dallas,,100%,Infrastructu,,FALSE
Unit,New York City,,15%,Finance,United States,FALSE
Chegg,SF Bay Area,441,23%,Education,United States,FALSE
Wex,Portland,375,5%,Finance,United States,FALSE
PayPal,SF Bay Area,85,,Finance,Ireland,FALSE
Fisker,Los Angeles,,100%,Transportat,,FALSE
C2FO,Kansas City,16,,Finance,United States,FALSE
Rapyd,Tel Aviv Non-U.S.,30,,Finance,Israel,FALSE
Moovit,Tel Aviv Non-U.S.,20,10%,Transportat,,FALSE
Emma Sleep,Frankfurt Non-U.S.,200,18%,Retail,Germany,FALSE
ReshaMandi,Bengaluru Non-U.S.,,80%,Food,India,FALSE
Bluevine,Tel Aviv Non-U.S.,,,Finance,Israel,FALSE
Ginkgo Bioworks,Boston,400,35%,Healthcare,United States,FALSE
Trade Republic,Berlin Non-U.S.,,,Finance,Germany,FALSE
Ginkgo Bioworks,Boston,,,Healthcare,United States,FALSE
Flutterwave,Lagos Non-U.S.,30,3%,Finance,Nigeria,FALSE
BeReal,Paris Non-U.S.,,,Consumer,France,FALSE
Perion,Tel Aviv Non-U.S.,35,5%,Marketing,Israel,FALSE
Planet,SF Bay Area,180,17%,Aerospace,United States,FALSE
eBay,Tel Aviv Non-U.S.,,,Retail,Israel,FALSE
Moxion Power,SF Bay Area,101,,Energy,United States,FALSE
RealPage,Dallas,260,4%,Real Estate,United States,FALSE
Priceline,Norwalk,103,7%,Travel,United States,FALSE
Spotify,Stockholm Non-U.S.,40,,Media,Sweden,FALSE
Salesforce,SF Bay Area,300,,Sales,United States,FALSE
SolarEdge,Tel Aviv Non-U.S.,400,,Energy,Israel,FALSE
Unbounce,Vancouver Non-U.S.,,,Marketing,Canada,FALSE
Kaspersky,Boston,,,Security,,TRUE
ON,SF Bay Area,60,100%,Retail,United States,FALSE
Aqua Security,Boston,50,10%,Security,United States,TRUE
Lex,New York City,,,Consumer,United States,FALSE
EverC,Tel Aviv Non-U.S.,16,10%,Security,Israel,TRUE
Mercari U.S.,SF Bay Area,,50%,Retail,,FALSE
Magic Leap,Miami,75,,Consumer,United States,FALSE
Bluelearn,Bengaluru Non-U.S.,,100%,Education,India,FALSE
Cohere,Toronto Non-U.S.,20,5%,AI,Canada,TRUE
Humble Games,SF Bay Area,36,100%,Media,United States,FALSE
Webflow,SF Bay Area,,8%,Marketing,United States,FALSE
WayCool,Chennai Non-U.S.,200,,Food,India,FALSE
Pocket FM,Bengaluru Non-U.S.,200,,Media,India,FALSE
OrCam,Jerusalem Non-U.S.,,,Healthcare,Israel,FALSE
Moxion Power,SF Bay Area,248,100%,Energy,United States,FALSE
NerdWallet,SF Bay Area,,15%,Finance,United States,FALSE
Match Group,New York City,,6%,Consumer,United States,FALSE
Delivery Hero,Berlin Non-U.S.,200,,Food,Germany,FALSE
Bungie,Seattle,220,17%,Consumer,United States,FALSE
Quizac,Lagos Non-U.S.,,100%,Education,Nigeria,FALSE
DayTwo,SF Bay Area,,100%,Healthcare,United States,FALSE
